Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Gonzaga,WCC,,1,26,3,87.8,65.3,22.48,,4.45,,20.48,6.46,26.94,122.74,86.00,36.74
2,Arizona,Pac-12,,2,28,3,84.7,66.7,17.97,,6.56,,18.19,6.34,24.53,119.92,86.45,33.48
3,Baylor,Big 12,,3,26,5,76.8,63.4,13.45,,9.05,,12.09,10.41,22.50,119.21,86.80,32.41
4,Kentucky,SEC,,5,25,6,80.1,65.7,14.35,,8.07,,13.84,8.58,22.42,121.79,90.18,31.61
5,Houston,AAC,,18,26,5,75.9,58.9,16.94,,5.21,,8.61,13.54,22.14,118.37,85.40,32.97
6,Kansas,Big 12,,6,25,6,78.6,68.6,9.97,,11.34,,15.87,5.44,21.30,121.36,91.13,30.23
7,Auburn,SEC,,4,27,4,79.3,67.0,12.23,,8.78,,13.35,7.66,21.01,115.02,85.57,29.45
8,UCLA,Pac-12,,13,23,6,76.7,64.3,12.34,,8.13,,10.40,10.08,20.48,117.00,87.45,29.55
9,Tennessee,SEC,,9,23,7,73.6,63.3,10.30,,10.13,,8.47,11.96,20.43,113.85,84.13,29.72
10,Purdue,Big Ten,,9,25,6,80.7,68.8,11.97,,8.38,,14.42,5.94,20.35,123.70,94.16,29.54
11,Duke,ACC,,7,26,5,80.4,66.0,14.35,,5.84,,12.88,7.32,20.20,120.08,90.83,29.25
12,Villanova,Big East,,8,23,7,73.8,63.6,10.17,,9.79,,7.61,12.35,19.96,120.67,90.59,30.08
13,Texas Tech,Big 12,,14,23,8,72.4,60.7,11.74,,8.01,,6.77,12.99,19.75,112.87,83.97,28.90
14,Iowa,Big Ten,,24,22,9,83.3,71.0,12.23,,6.82,,16.51,2.53,19.04,121.44,94.72,26.73
15,Louisiana State,SEC,,,21,10,73.2,62.9,10.32,,8.52,,6.47,12.37,18.85,109.44,82.97,26.48
16,Illinois,Big Ten,,16,22,8,76.2,67.7,8.47,,9.69,,10.50,7.66,18.16,117.11,90.61,26.50
17,Texas,Big 12,,22,21,10,68.6,59.5,9.16,,8.48,,2.98,14.66,17.64,113.15,86.19,26.96
18,Connecticut,Big East,,20,22,8,76.1,65.7,10.47,,6.81,,9.20,8.07,17.27,115.70,91.29,24.40
19,Arkansas,SEC,,15,24,7,77.3,68.2,9.13,,7.78,,11.09,5.81,16.90,111.95,88.09,23.86
20,Alabama,SEC,,,19,12,80.1,76.2,3.87,,12.13,,15.47,0.53,16.01,117.98,95.17,22.80
21,San Francisco,WCC,,,24,9,77.1,67.0,10.03,,5.63,,8.13,6.81,14.95,111.71,90.62,21.09
22,Saint Mary's (CA),WCC,,17,25,7,69.8,60.5,9.25,,6.59,,1.37,13.58,14.94,110.35,88.22,22.13
23,Ohio State,Big Ten,,,19,10,74.0,68.4,5.62,,9.18,,8.82,5.98,14.80,118.29,96.36,21.94
24,Memphis,AAC,,,19,9,76.1,68.5,7.61,,6.93,,9.71,4.82,14.53,111.25,90.76,20.50
25,Michigan,Big Ten,,,17,13,73.2,69.7,3.43,,11.04,,7.53,6.95,14.47,115.77,95.06,20.70
26,Loyola (IL),MVC,,,25,7,73.8,61.7,12.09,,3.15,,4.72,9.66,14.38,112.88,90.95,21.93
27,Seton Hall,Big East,,,21,9,73.6,66.5,7.13,,8.53,,6.12,8.21,14.32,110.40,90.07,20.33
28,Wisconsin,Big Ten,,12,24,6,71.0,66.5,4.50,,9.75,,5.56,8.69,14.25,111.85,90.91,20.93
29,Oklahoma,Big 12,,,17,14,68.8,64.9,3.94,,9.88,,4.36,9.46,13.82,111.56,91.71,19.85
30,San Diego State,MWC,,,21,7,66.3,58.3,8.04,,5.76,,-0.14,13.94,13.80,103.93,83.53,20.40
31,Michigan State,Big Ten,,,20,11,72.1,68.3,3.84,,9.93,,7.01,6.76,13.77,111.76,92.20,19.56
32,Providence,Big East,,11,24,4,72.5,66.6,5.96,,7.65,,6.66,6.95,13.62,112.60,92.97,19.63
33,Wake Forest,ACC,,,23,9,79.5,70.2,9.25,,4.27,,10.71,2.81,13.52,112.54,93.68,18.86
34,Indiana,Big Ten,,,18,12,71.4,65.5,5.97,,7.53,,4.80,8.70,13.50,108.68,88.92,19.76
35,Xavier,Big East,,,18,13,73.9,69.2,4.71,,8.79,,8.76,4.74,13.50,112.13,93.09,19.04
36,Southern California,Pac-12,,21,25,6,73.3,66.0,7.29,,6.18,,6.46,7.01,13.47,112.05,92.86,19.20
37,Oklahoma State,Big 12,,,15,15,68.4,65.7,2.70,,10.74,,4.04,9.40,13.44,105.30,85.91,19.39
38,Virginia Tech,ACC,,,20,12,69.8,61.7,8.16,,5.13,,2.65,10.64,13.29,113.86,93.70,20.16
39,North Carolina,ACC,,25,23,8,78.6,72.6,5.94,,7.28,,12.16,1.06,13.22,114.81,95.36,19.45
40,Iowa State,Big 12,,,20,11,67.3,62.7,4.58,,8.62,,1.83,11.37,13.20,106.73,87.14,19.59
41,Marquette,Big East,,,19,11,74.8,70.8,4.00,,9.17,,9.84,3.33,13.17,110.59,91.70,18.88
42,Florida,SEC,,,19,12,70.5,65.5,4.94,,8.06,,4.72,8.27,12.99,111.94,93.50,18.44
43,TCU,Big 12,,,19,11,68.4,64.8,3.57,,9.31,,3.19,9.69,12.88,109.66,90.74,18.92
44,Boise State,MWC,,,24,7,69.2,60.8,8.39,,5.21,,2.42,10.42,12.84,109.76,90.72,19.04
45,Washington State,Pac-12,,,19,13,72.1,65.1,7.06,,5.57,,4.32,8.31,12.63,109.78,91.52,18.26
46,Colorado State,MWC,,23,24,4,75.0,66.4,8.68,,4.46,,7.56,4.94,12.50,116.31,97.66,18.65
47,Mississippi State,SEC,,,17,14,71.2,66.7,4.45,,7.69,,4.90,7.25,12.14,111.74,93.55,18.19
48,St. John's (NY),Big East,,,17,14,80.1,74.4,5.65,,6.41,,13.39,-1.33,12.06,111.40,94.72,16.69
49,Southern Methodist,AAC,,,22,7,74.4,67.4,7.07,,4.52,,6.92,4.67,11.59,110.56,93.83,16.73
50,Texas A&M,SEC,,,20,11,73.1,66.7,6.35,,6.63,,4.70,6.84,11.53,109.03,92.21,16.82
51,Notre Dame,ACC,,,22,9,72.3,66.2,6.06,,5.98,,4.82,6.56,11.38,112.53,95.36,17.17
52,Utah State,MWC,,,18,14,74.2,66.8,7.41,,4.65,,6.68,4.65,11.33,111.72,95.09,16.64
53,UAB,CUSA,,,24,7,80.0,65.1,14.90,,-0.98,,8.05,3.07,11.12,111.40,95.58,15.82
54,Oregon,Pac-12,,,19,13,72.5,69.2,3.34,,8.28,,6.93,4.03,10.96,111.59,96.11,15.48
55,Kansas State,Big 12,,,14,17,69.0,67.5,1.55,,9.40,,4.43,6.52,10.95,109.83,93.71,16.12
56,Saint Louis,A-10,,,21,10,77.5,67.9,9.55,,3.51,,7.44,3.51,10.95,111.20,95.13,16.08
57,Vanderbilt,SEC,,,16,15,70.0,66.9,3.06,,7.83,,3.70,7.20,10.90,107.47,91.67,15.80
58,West Virginia,Big 12,,,16,16,68.6,68.4,0.22,,10.59,,4.94,5.87,10.81,109.30,93.44,15.86
59,Dayton,A-10,,,22,9,69.1,60.6,8.52,,2.21,,0.21,10.51,10.72,110.41,93.45,16.97
60,Murray State,OVC,,19,30,2,79.3,62.3,17.03,,-3.40,,3.89,6.72,10.61,110.36,94.13,16.22
61,Northwestern,Big Ten,,,15,15,72.9,68.5,4.33,,7.35,,5.19,5.27,10.46,107.65,92.65,15.01
62,Virginia Commonwealth,A-10,,,21,8,66.1,60.8,5.34,,5.07,,-0.71,11.13,10.41,100.15,85.23,14.92
63,Creighton,Big East,,,20,10,69.0,66.7,2.33,,7.98,,2.39,7.92,10.31,105.70,91.24,14.46
64,Miami (FL),ACC,,,22,9,74.9,70.8,4.10,,6.21,,8.61,1.70,10.31,114.73,99.68,15.06
65,Colorado,Pac-12,,,20,10,70.8,66.6,4.27,,6.00,,3.81,6.46,10.27,107.55,93.09,14.46
66,Wyoming,MWC,,,24,7,73.8,65.7,8.10,,3.54,,5.11,5.16,10.27,111.17,95.57,15.59
67,Brigham Young,WCC,,,22,10,73.7,67.9,5.81,,5.66,,5.92,4.34,10.26,109.77,94.09,15.69
68,Davidson,A-10,,,25,5,75.8,66.0,9.77,,1.47,,6.09,4.04,10.13,116.61,101.08,15.53
69,Syracuse,ACC,,,16,16,77.3,74.7,2.66,,7.47,,11.00,-0.87,10.12,115.11,100.67,14.44
70,Maryland,Big Ten,,,15,16,70.9,70.5,0.35,,9.50,,5.25,4.61,9.85,110.70,96.38,14.32
71,Santa Clara,WCC,,,21,11,78.1,72.2,5.94,,3.86,,11.46,-1.66,9.80,112.82,98.90,13.92
72,North Texas,CUSA,,,23,5,65.8,55.6,10.21,,1.27,,-5.85,15.46,9.61,106.91,91.00,15.91
73,Clemson,ACC,,,17,16,71.7,68.5,3.27,,6.27,,5.07,4.48,9.55,111.58,97.40,14.18
74,Rutgers,Big Ten,,,18,12,67.7,65.2,2.50,,6.87,,0.79,8.58,9.37,106.70,92.78,13.91
75,Missouri State,MVC,,,23,10,77.5,68.3,9.18,,1.19,,6.71,2.48,9.19,113.03,99.24,13.78
76,Fresno State,MWC,,,19,12,65.3,58.7,6.58,,2.90,,-3.26,12.29,9.03,106.43,92.06,14.37
77,Wichita State,AAC,,,15,12,68.5,66.1,2.41,,6.58,,2.59,6.40,8.98,105.04,91.77,13.27
78,Virginia,ACC,,,19,12,63.2,60.1,3.10,,5.86,,-4.40,13.36,8.96,108.96,95.06,13.91
79,Penn State,Big Ten,,,13,16,64.5,64.8,-0.24,,9.19,,-1.95,10.90,8.95,107.38,94.22,13.16
